,Date,Team,Acquired,Relinquished,Notes
7074,2015-12-17,Thunder,,Anthony Morrow,placed on IL for personal reasons
7075,2015-12-18,76ers,Nerlens Noel,,returned to lineup
7076,2015-12-18,Bucks,Greg Monroe,,returned to lineup
7077,2015-12-18,Heat,,Chris Andersen,illness (DTD)
7078,2015-12-18,Jazz,Joe Ingles,,returned to lineup
7079,2015-12-18,Mavericks,,Devin Harris,strained right hamstring (DTD)
7080,2015-12-18,Nets,,Thomas Robinson,illness (DTD)
7081,2015-12-18,Pelicans,,Alexis Ajinca / Alex Ajinca,calf injury (DTD)
7082,2015-12-18,Pistons,,Aron Baynes,back spasms (DTD)
7083,2015-12-18,Raptors,,DeMarre Carroll,bruised right knee (DTD)
7084,2015-12-18,Timberwolves,Kevin Martin,,returned to lineup
7085,2015-12-19,Lakers,,Kobe Bryant,sore right shoulder (DTD)
7086,2015-12-19,Thunder,Anthony Morrow,,activated from IL
7087,2015-12-19,Wizards,,Bradley Beal,sore right leg (DTD)
7088,2015-12-19,Wizards,,Otto Porter Jr.,bruised left thigh (DTD)
7089,2015-12-20,Bucks,,Giannis Antetokounmpo,sore knee (DTD)
7090,2015-12-20,Bucks,,Jason Kidd,surgery on hip (out indefinitely)
7091,2015-12-20,Heat,Chris Andersen,,returned to lineup
7092,2015-12-20,Nets,Thomas Robinson,,returned to lineup
7093,2015-12-21,Bulls,,Joakim Noah,sprained left shoulder (DTD)
7094,2015-12-21,Celtics,,Jared Sullinger,back spasms (DTD)
7095,2015-12-21,Clippers,,Austin Rivers,sprained right ankle (DTD)
7096,2015-12-21,Clippers,,Paul Pierce,sore back (DTD)
7097,2015-12-21,Timberwolves,,Kevin Garnett,rest (DTD)
7098,2015-12-21,Wizards,,Gary Neal,sore lower back (DTD)
7099,2015-12-22,76ers,,Kendall Marshall,sore right knee (DTD)
7100,2015-12-22,Grizzlies,Tony Allen,,returned to lineup
7101,2015-12-22,Lakers,Kobe Bryant,,returned to lineup
7102,2015-12-22,Mavericks,,Deron Williams,strained left hamstring (DTD)
7103,2015-12-22,Pistons,Aron Baynes,,returned to lineup
7104,2015-12-22,Raptors,,James Johnson,sprained left ankle (DTD)
7105,2015-12-23,76ers,,Tony Wroten Jr.,sore right knee (DTD)
7106,2015-12-23,Bucks,Giannis Antetokounmpo,,returned to lineup
7107,2015-12-23,Celtics,Jared Sullinger,,returned to lineup
7108,2015-12-23,Knicks,,Carmelo Anthony,sprained right ankle (DTD)
7109,2015-12-23,Lakers,,Julius Randle,sprained left ankle (DTD)
7110,2015-12-23,Nets,Shane Larkin,,returned to lineup
7111,2015-12-23,Nuggets,,Jameer Nelson,illness (DTD)
7112,2015-12-23,Wizards,Gary Neal,,returned to lineup
7113,2015-12-25,Clippers,Paul Pierce,,returned to lineup
7114,2015-12-25,Lakers,Julius Randle,,returned to lineup
7115,2015-12-26,76ers,,Jahlil Okafor,sore right knee (DTD)
7116,2015-12-26,Hornets,,Spencer Hawes,tightness in lower back (DTD)
7117,2015-12-26,Jazz,,Derrick Favors,back spasms / sore lower back (DTD)
7118,2015-12-26,Knicks,,Louis Amundson / Lou Amundson,back spasms (DTD)
7119,2015-12-26,Knicks,Carmelo Anthony,,returned to lineup
7120,2015-12-26,Nets,Sergey Karasev,,returned to lineup
7121,2015-12-26,Nuggets,Jameer Nelson,,returned to lineup
7122,2015-12-26,Raptors,James Johnson,,returned to lineup
7123,2015-12-26,Suns,,Eric Bledsoe,sprained left knee (out for season)
7124,2015-12-26,Wizards,,Gary Neal,strained right quadricep (DTD)
7125,2015-12-26,Wizards,Otto Porter Jr.,,returned to lineup
7126,2015-12-26,Clippers,,Austin Rivers,sprained right ankle (DTD)
7127,2015-12-26,Grizzlies,,Jordan Adams,sore right knee (out for season)
7128,2015-12-26,Mavericks,,Deron Williams,strained left hamstring (DTD)
7129,2015-12-27,Hawks,,Tiago Splitter,strained calf (DTD)
7130,2015-12-27,Jazz,,Alec Burks,fractured fibula in left leg (out indefinitely)
7131,2015-12-28,Bucks,,John Henson,elbow injury (DTD)
7132,2015-12-28,Bulls,,Doug McDermott,sore right knee (DTD)
7133,2015-12-28,Clippers,Austin Rivers,,returned to lineup
7134,2015-12-28,Heat,,Justise Winslow,ankle injury (DTD)
7135,2015-12-28,Kings,,Duje Dukan,bone bruise (DTD)
7136,2015-12-28,Kings,,Kosta Koufos,illness (DTD)
7137,2015-12-28,Pacers,,C.J. Miles,sore lower back (DTD)
7138,2015-12-28,Spurs,,Tim Duncan,right knee injury (DTD)
7139,2015-12-28,Warriors,,Leandro Barbosa,sprained left shoulder (DTD)
7140,2015-12-29,Bucks,John Henson,,returned to lineup
7141,2015-12-29,Hawks,,Dennis Schroder,DNP
7142,2015-12-29,Jazz,,Alec Burks,surgery on left leg to repair fractured fibula (date approximate)
7143,2015-12-29,Pacers,,Jordan Hill,dental work (DTD)
7144,2015-12-29,Rockets,,Terrence Jones,illness (DTD)
7145,2015-12-29,Suns,,Eric Bledsoe,surgery on left knee to repair torn meniscus (out for season)
7146,2015-12-30,76ers,Jahlil Okafor,,returned to lineup
7147,2015-12-30,Bulls,,Derrick Rose,right hamstring tendinitis/tightness (DTD)
7148,2015-12-30,Bulls,Doug McDermott,,returned to lineup
7149,2015-12-30,Hornets,,Al Jefferson,torn lateral meniscus in right knee (out indefinitely)
7150,2015-12-30,Hornets,,Jeremy Lin,sprained right ankle (DTD)
7151,2015-12-30,Kings,Kosta Koufos,,returned to lineup
7152,2015-12-30,Knicks,,Cleanthony Early,knee injury (from gunshot wound) (DTD)
7153,2015-12-30,Pacers,Myles Turner,,returned to lineup
7154,2015-12-30,Warriors,,Festus Ezeli,sore left toe (DTD)
7155,2015-12-30,Warriors,,Leandro Barbosa,sprained left shoulder (DTD)
7156,2015-12-30,Warriors,,Stephen Curry,bruised lower left leg (DTD)
7157,2015-12-31,Hornets,,Al Jefferson,surgery on right knee to repair torn lateral meniscus (out indefinitely)
7158,2015-12-31,Pacers,C.J. Miles,,returned to lineup
7159,2015-12-31,Rockets,Terrence Jones,,returned to lineup
7160,2015-12-31,Suns,,Jon Leuer,ankle injury (DTD)
7161,2015-12-31,Warriors,,Leandro Barbosa,sprained left shoulder (DTD)
7162,2016-01-01,76ers,,Hollis Thompson,corneal abrasion in right eye (DTD)
7163,2016-01-01,Mavericks,,Devin Harris,back spasms (DTD)
7164,2016-01-01,Wizards,,DeJuan Blair,sore right knee (DTD)
7165,2016-01-01,Hornets,,Spencer Hawes,sore lower back (DTD)
7166,2016-01-02,Celtics,,Avery Bradley,bruised left hip (DTD)
7167,2016-01-02,Celtics,,R.J. Hunter,left shoulder subluxation (DTD)
7168,2016-01-02,Hornets,,Nicolas Batum,sprained toe on right foot (DTD)
7169,2016-01-02,Hornets,Jeremy Lin,,returned to lineup
7170,2016-01-02,Nuggets,,Kostas Papanikolaou,sprained left ankle (DTD)
7171,2016-01-02,Nuggets,Jusuf Nurkic,,returned to lineup
7172,2016-01-02,Pacers,Jordan Hill,,returned to lineup
7173,2016-01-02,Pelicans,,Tyreke Evans,right knee tendinitis (DTD)
7174,2016-01-02,Rockets,,Donatas Motiejunas,sore back (DTD)
7175,2016-01-02,Rockets,,Marcus Thornton (T.),personal reasons (DTD)
7176,2016-01-02,Spurs,Tim Duncan,,returned to lineup
7177,2016-01-02,Suns,Jon Leuer,,returned to lineup
7178,2016-01-02,Warriors,,Brandon Rush,tightness in right hamstring (DTD)
7179,2016-01-02,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot (DTD)
7180,2016-01-02,Warriors,Stephen Curry,,returned to lineup
7181,2016-01-02,Wizards,,Drew Gooden,strained right calf (DTD)
7182,2016-01-02,Warriors,,Harrison Barnes,sprained left ankle (DTD) (P)
7183,2016-01-03,Heat,Justise Winslow,,returned to lineup
7184,2016-01-03,Nets,,Jarrett Jack,torn ACL in right knee (out for season)
7185,2016-01-03,Nuggets,Kostas Papanikolaou,,returned to lineup
7186,2016-01-03,Raptors,,Anthony Bennett,sore lower back (DTD)
7187,2016-01-04,76ers,Hollis Thompson,,returned to lineup
7188,2016-01-04,Cavaliers,,Joe Harris,right foot injury (DTD) (CBC Y)
7189,2016-01-04,Grizzlies,,Mike Conley Jr.,tightness in lower back (DTD)
7190,2016-01-04,Heat,,Hassan Whiteside,knee injury (DTD)
7191,2016-01-04,Hornets,Spencer Hawes,,returned to lineup
7192,2016-01-04,Kings,,Omri Casspi,sore upper back (DTD)
7193,2016-01-04,Magic,,Elfrid Payton,bruised left ankle (DTD)
7194,2016-01-04,Pacers,,George Hill,food poisoning (DTD)
7195,2016-01-04,Rockets,,Donatas Motiejunas,sore back (DTD)
7196,2016-01-04,Rockets,,Ty Lawson,sprained left ankle (DTD)
7197,2016-01-04,Thunder,,Kevin Durant,toe injury (DTD)
7198,2016-01-04,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot (DTD)
7199,2016-01-04,Warriors,Brandon Rush,,returned to lineup
7200,2016-01-04,Warriors,Festus Ezeli,,returned to lineup
7201,2016-01-05,Bulls,Derrick Rose,,returned to lineup
7202,2016-01-05,Kings,,Duje Dukan,leg injury (DTD) (CBC)
7203,2016-01-05,Kings,,Rajon Rondo,back spasms (DTD)
7204,2016-01-05,Kings,,Willie Cauley-Stein,lacerated right middle finger (DTD)
7205,2016-01-05,Warriors,,James Michael McAdoo / James McAdoo (Michael),sprained toe on left foot (DTD)
7206,2016-01-06,Celtics,R.J. Hunter,,returned to lineup
7207,2016-01-06,Grizzlies,,Mike Conley Jr.,sore left Achilles tendon (DTD)
7208,2016-01-06,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest (DTD)
7209,2016-01-06,Mavericks,,Zaur Pachulia / Zaza Pachulia,rest (DTD)
7210,2016-01-06,Pacers,George Hill,,returned to lineup
7211,2016-01-06,Pelicans,Tyreke Evans,,returned to lineup
7212,2016-01-06,Raptors,,Anthony Bennett,back injury (DTD)
7213,2016-01-06,Raptors,,DeMarre Carroll,arthroscopic surgery on right knee (out indefinitely)
7214,2016-01-06,Wizards,DeJuan Blair,,returned to lineup
7215,2016-01-06,Wizards,Gary Neal,,returned to lineup
7216,2016-01-07,Jazz,,Rodney Hood,right ankle injury (DTD)
7217,2016-01-07,Kings,Rajon Rondo,,returned to lineup
7218,2016-01-07,Rockets,,Dwight Howard,soreness/stiffness in lower back (DTD)
7219,2016-01-07,Rockets,Marcus Thornton (T.),,returned to lineup
7220,2016-01-07,Rockets,Ty Lawson,,returned to lineup
7221,2016-01-08,Bucks,,Miles Plumlee,sore left knee (DTD)
7222,2016-01-08,Bucks,,Tyler Ennis,illness (DTD)
7223,2016-01-08,Grizzlies,,Courtney Lee,bruised left hip (DTD)
7224,2016-01-08,Lakers,,D'Angelo Russell,sprained right ankle (DTD)
7225,2016-01-08,Mavericks,Zaur Pachulia / Zaza Pachulia,,returned to lineup
7226,2016-01-08,Nuggets,,Kenneth Faried,placed on IL with birth of child
7227,2016-01-08,Pelicans,,Anthony Davis,bruised back (DTD)
7228,2016-01-08,Wizards,Drew Gooden,,returned to lineup
7229,2016-01-08,Grizzlies,,Jarell Martin,bone bruise in left foot (DTD)
7230,2016-01-09,Hawks,,Jeff Teague,ankle injury (DTD)
7231,2016-01-09,Hawks,,Thabo Sefolosha,sore right wrist (DTD)
7232,2016-01-09,Heat,,Tyler Johnson,sore shoulder (DTD)
7233,2016-01-09,Kings,,James Anderson,strained left hamstring (DTD)
7234,2016-01-09,Kings,Willie Cauley-Stein,,returned to lineup
7235,2016-01-09,Lakers,,Brandon Bass,corneal abrasion in right eye (DTD)
7236,2016-01-09,Nuggets,,Jameer Nelson,strained hip flexor (DTD)
7237,2016-01-09,Pistons,,Marcus Morris,left knee tendinitis (DTD)
7238,2016-01-09,Wizards,,Nene / Nene Hilario / Maybyner Hilario,strained right triceps (DTD)
7239,2016-01-10,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7240,2016-01-10,Bucks,Miles Plumlee,,returned to lineup
7241,2016-01-10,Bucks,Tyler Ennis,,returned to lineup
7242,2016-01-10,Hornets,Nicolas Batum,,returned to lineup
7243,2016-01-10,Jazz,Rodney Hood,,returned to lineup
7244,2016-01-10,Lakers,,Kobe Bryant,strained right Achilles (DTD)
7245,2016-01-10,Rockets,Dwight Howard,,returned to lineup
7246,2016-01-11,Heat,,Hassan Whiteside,knee injury (DTD)
7247,2016-01-11,Heat,Tyler Johnson,,returned to lineup
7248,2016-01-11,Pelicans,,Quincy Pondexter,surgery on left knee to repair cartilage damage (out for season)
7249,2016-01-11,Wizards,,Marcin Gortat,sore left knee (DTD)
7250,2016-01-11,Wizards,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup
7251,2016-01-12,Bucks,O.J. Mayo,,returned to lineup
7252,2016-01-12,Cavaliers,,Maurice Williams / Mo Williams,placed on IL for personal reasons
7253,2016-01-12,Clippers,,DeAndre Jordan,pneumonia (DTD)
7254,2016-01-12,Grizzlies,,Matt Barnes,bruised right thumb (DTD)
7255,2016-01-12,Grizzlies,Courtney Lee,,returned to lineup
7256,2016-01-12,Knicks,Louis Amundson / Lou Amundson,,returned to lineup
7257,2016-01-12,Lakers,Brandon Bass,,returned to lineup
7258,2016-01-12,Lakers,D'Angelo Russell,,returned to lineup
7259,2016-01-12,Lakers,Kobe Bryant,,returned to lineup
7260,2016-01-12,Pacers,,Rodney Stuckey,sprained right ankle/foot (DTD)
7261,2016-01-12,Pistons,Marcus Morris,,returned to lineup
7262,2016-01-12,Suns,,Alex Len,sprained left hand (DTD)
7263,2016-01-12,Suns,,Brandon Knight,food poisoning (DTD)
7264,2016-01-12,Magic,,Joe Harris,surgery on right foot (out indefinitely) (P- error?)
7265,2016-01-12,Magic,Joe Harris,,returned to lineup
7266,2016-01-13,Heat,Hassan Whiteside,,returned to lineup
7267,2016-01-13,Kings,James Anderson,,returned to lineup
7268,2016-01-13,Kings,Omri Casspi,,returned to lineup
7269,2016-01-13,Knicks,,Carmelo Anthony,sprained right ankle (DTD)
7270,2016-01-13,Mavericks,,Deron Williams,rest (DTD)
7271,2016-01-13,Mavericks,,Dirk Nowitzki,rest (DTD)
7272,2016-01-13,Mavericks,,Zaur Pachulia / Zaza Pachulia,sore right Achilles (DTD)
7273,2016-01-13,Nets,,Jarrett Jack,surgery on right knee to repair torn ligament (out for season)
7274,2016-01-13,Nuggets,Kenneth Faried,,activated from IL
7275,2016-01-13,Pelicans,Anthony Davis,,returned to lineup
7276,2016-01-13,Rockets,,Patrick Beverley,personal reasons (DTD)
7277,2016-01-13,Warriors,,Draymond Green,rest (DTD)
7278,2016-01-13,Wizards,Bradley Beal,,returned to lineup
7279,2016-01-14,76ers,,Jerami Grant,strained left calf (DTD)
7280,2016-01-14,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7281,2016-01-14,Bulls,,Derrick Rose,left knee patellar tendinitis (DTD)
7282,2016-01-14,Grizzlies,Matt Barnes,,returned to lineup
7283,2016-01-14,Heat,,Chris Andersen,sore left knee (DTD)
7284,2016-01-14,Hornets,,Jeremy Lamb,sprained right big toe (DTD)
7285,2016-01-14,Magic,Elfrid Payton,,returned to lineup
7286,2016-01-14,Nets,,Willie Reed,personal reasons (DTD)
7287,2016-01-15,Bucks,,Jerryd Bayless,sprained left ankle (DTD)
7288,2016-01-15,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7289,2016-01-15,Bulls,,Joakim Noah,separated left shoulder (out for season)
7290,2016-01-15,Bulls,Derrick Rose,,returned to lineup
7291,2016-01-15,Hawks,Thabo Sefolosha,,returned to lineup
7292,2016-01-15,Heat,,Dwyane Wade,sore shoulder (DTD)
7293,2016-01-15,Mavericks,Deron Williams,,returned to lineup
7294,2016-01-15,Mavericks,Zaur Pachulia / Zaza Pachulia,,returned to lineup
7295,2016-01-15,Rockets,Patrick Beverley,,returned to lineup
7296,2016-01-15,Suns,,Ronnie Price,surgery on right big toe to remove loose bodies (out indefinitely)
7297,2016-01-15,Wizards,,Otto Porter Jr.,sore right hip (DTD)
7298,2016-01-16,76ers,,Nik Stauskas,bruised left shoulder (DTD)
7299,2016-01-16,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7300,2016-01-16,Jazz,,Trevor Booker,concussion (DTD)
7301,2016-01-16,Nets,Willie Reed,,returned to lineup
7302,2016-01-16,Suns,Brandon Knight,,returned to lineup
7303,2016-01-16,Wizards,,Drew Gooden,sore left / right (Y) calf (DTD)
7304,2016-01-17,Bulls,,Kirk Hinrich,bruised left quadricep (DTD)
7305,2016-01-17,Heat,,Beno Udrih,strained neck (DTD)
7306,2016-01-17,Heat,Dwyane Wade,,returned to lineup
7307,2016-01-17,Nuggets,,Jameer Nelson,sprained right wrist (DTD)
7308,2016-01-17,Pacers,,George Hill,personal reasons (DTD)
7309,2016-01-17,Pacers,,Ian Mahinmi,sore left heel (DTD)
7310,2016-01-17,Rockets,,Patrick Beverley,ankle injury (DTD)
7311,2016-01-18,76ers,Jerami Grant,,returned to lineup
7312,2016-01-18,Cavaliers,Maurice Williams / Mo Williams,,activated from IL
7313,2016-01-18,Clippers,DeAndre Jordan,,returned to lineup
7314,2016-01-18,Grizzlies,Mike Conley Jr.,,returned to lineup
7315,2016-01-18,Jazz,Trevor Booker,,returned to lineup
7316,2016-01-18,Knicks,,Kevin Seraphin,bruised right rib (DTD)
7317,2016-01-18,Knicks,Carmelo Anthony,,returned to lineup
7318,2016-01-18,Nets,,Andrea Bargnani,sore right ankle (DTD)
7319,2016-01-18,Pelicans,,Tyreke Evans,right knee injury (DTD)
7320,2016-01-18,Rockets,Patrick Beverley,,returned to lineup
7321,2016-01-19,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7322,2016-01-19,Bulls,,Joakim Noah,surgery on left shoulder to repair separation (out for season)
7323,2016-01-19,Knicks,,Lance Thomas,sore left knee (DTD)
7324,2016-01-19,Pacers,Ian Mahinmi,,returned to lineup
7325,2016-01-19,Pelicans,,Eric Gordon,fractured right ring finger (DTD)
7326,2016-01-19,Pelicans,Tyreke Evans,,returned to lineup
7327,2016-01-19,Suns,,Jon Leuer,lower back spasms (DTD)
7328,2016-01-19,Suns,Alex Len,,returned to lineup
7329,2016-01-20,Heat,,Dwyane Wade,sore shoulder (DTD)
7330,2016-01-20,Heat,,Hassan Whiteside,strained oblique (DTD)
7331,2016-01-20,Knicks,Kevin Seraphin,,returned to lineup
7332,2016-01-20,Nets,Andrea Bargnani,,returned to lineup
7333,2016-01-20,Pelicans,,Eric Gordon,surgery to repair fractured right ring finger (out indefinitely)
7334,2016-01-20,Rockets,,Patrick Beverley,sprained left ankle (DTD)
7335,2016-01-20,Spurs,,(William) Tony Parker,right hip injury (DTD)
7336,2016-01-21,Grizzlies,,Tony Allen,sore left knee (DTD)
7337,2016-01-21,Heat,,Hassan Whiteside,hip injury (DTD)
7338,2016-01-21,Hornets,,Cody Zeller,strained right shoulder (DTD)
7339,2016-01-21,Hornets,,Nicolas Batum,sprained right toe (DTD)
7340,2016-01-21,Kings,,Rudy Gay,bruised left heel (DTD)
7341,2016-01-21,Rockets,,Dwight Howard,sprained left ankle (DTD)
7342,2016-01-21,Suns,,Brandon Knight,strained left abductor (P) / adductor (CBC) (DTD)
7343,2016-01-21,Suns,,Markieff Morris,strained right shoulder (DTD)
7344,2016-01-21,Suns,,Mirza Teletovic,sprained left ankle (DTD)
7345,2016-01-21,Suns,,P.J. Tucker,bruised chest (left game)
7346,2016-01-22,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7347,2016-01-22,Celtics,,Amir Johnson,personal reasons (DTD)
7348,2016-01-22,Celtics,,Jordan Mickey,ankle injury (already on IL)
7349,2016-01-22,Heat,,Hassan Whiteside,strained left hip (DTD)
7350,2016-01-22,Heat,,Luol Deng,scratched eye (DTD)
7351,2016-01-22,Heat,Dwyane Wade,,returned to lineup
7352,2016-01-22,Hornets,Jeremy Lamb,,returned to lineup
7353,2016-01-22,Pacers,,Ian Mahinmi,sprained left ankle (DTD)
7354,2016-01-22,Rockets,,Montrezl Harrell,bruised shoulder (DTD)
7355,2016-01-22,Thunder,,Steven Adams,sprained right elbow (DTD)
7356,2016-01-22,Warriors,Steve Kerr,,returned as head coach
7357,2016-01-23,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7358,2016-01-23,Hawks,,Paul Millsap,placed on IL for personal reasons
7359,2016-01-23,Hornets,,Jeremy Lamb,sprained right big toe (DTD)
7360,2016-01-23,Nuggets,,Kenneth Faried,sore left abductor / adductor (DTD)
7361,2016-01-23,Pacers,George Hill,,returned to lineup
7362,2016-01-23,Pelicans,,Dante Cunningham,illness (DTD)
7363,2016-01-23,Suns,Mirza Teletovic,,returned to lineup
7364,2016-01-23,Rockets,Montrezl Harrell,,returned to lineup
7365,2016-01-24,76ers,Nik Stauskas,,returned to lineup
7366,2016-01-24,Celtics,Amir Johnson,,returned to lineup
7367,2016-01-24,Mavericks,,Jeremy Evans,sore shoulder (DTD)
7368,2016-01-24,Rockets,Patrick Beverley,,returned to lineup
7369,2016-01-24,Spurs,,Tim Duncan,sore right knee (DTD)
7370,2016-01-25,Bucks,Jason Kidd,,returned as head coach
7371,2016-01-25,Bulls,,E'Twaun Moore,strained right hamstring (DTD)
7372,2016-01-25,Grizzlies,Tony Allen,,returned to lineup
7373,2016-01-25,Hawks,Paul Millsap,,activated from IL
7374,2016-01-25,Heat,Beno Udrih,,returned to lineup
7375,2016-01-25,Heat,Luol Deng,,returned to lineup
7376,2016-01-25,Jazz,Derrick Favors,,returned to lineup
7377,2016-01-25,Kings,Rudy Gay,,returned to lineup
7378,2016-01-25,Knicks,,Carmelo Anthony,sore left knee (DTD)
7379,2016-01-25,Lakers,,Ryan Kelly,illness (DTD)
7380,2016-01-25,Nuggets,Kenneth Faried,,returned to lineup
7381,2016-01-25,Pelicans,,Anthony Davis,concussion (DTD)
7382,2016-01-25,Pelicans,Dante Cunningham,,returned to lineup
7383,2016-01-25,Thunder,,Andre Roberson,sprained right knee (DTD)
7384,2016-01-25,Timberwolves,,Kevin Martin,sore right wrist (DTD)
7385,2016-01-25,Wizards,Otto Porter Jr.,,returned to lineup
7386,2016-01-25,Grizzlies,Jarell Martin,,returned to lineup
7387,2016-01-26,76ers,,JaKarr Sampson,upper respiratory infection (DTD)
7388,2016-01-26,Bucks,,O.J. Mayo,sore left hamstring (DTD)
7389,2016-01-26,Clippers,,Blake Griffin,fractured right hand (off court injury) (out indefinitely)
7390,2016-01-26,Kings,,Rudy Gay,left eye injury (DTD)
7391,2016-01-26,Knicks,Lance Thomas,,returned to lineup
7392,2016-01-26,Pacers,Ian Mahinmi,,returned to lineup
7393,2016-01-26,Suns,Markieff Morris,,returned to lineup
7394,2016-01-26,Thunder,Steven Adams,,returned to lineup
7395,2016-01-27,76ers,,Elton Brand,personal reasons (DTD)
7396,2016-01-27,Bulls,,Nikola Mirotic,surgery to remove appendix (out indefinitely)
7397,2016-01-27,Hornets,,Jeremy Lin,sprained right ankle (DTD)
7398,2016-01-27,Hornets,Nicolas Batum,,returned to lineup
7399,2016-01-27,Mavericks,,Dirk Nowitzki,rest (DTD)
7400,2016-01-27,Nuggets,,Joffrey Lauvergne,infection in right toe (DTD)
7401,2016-01-27,Rockets,Dwight Howard,,returned to lineup
7402,2016-01-27,Thunder,,Cameron Payne,concussion (DTD)
7403,2016-01-28,Blazers,,Pat Connaughton,bone bruise in left ankle (DTD)
7404,2016-01-28,Bucks,,John Henson,sore lower back (DTD)
7405,2016-01-28,Bulls,,Nikola Mirotic,recovering from surgery to remove appendix (DTD)
7406,2016-01-28,Bulls,E'Twaun Moore,,returned to lineup
7407,2016-01-28,Hawks,,Paul Millsap,sprained left ankle (DTD)
7408,2016-01-28,Knicks,,Jose Calderon,sore right groin (DTD)
7409,2016-01-28,Knicks,,Kristaps Porzingis,upper respiratory illness (DTD)
7410,2016-01-28,Lakers,Ryan Kelly,,returned to lineup
7411,2016-01-28,Pelicans,,Tyreke Evans,right knee injury (out for season)
7412,2016-01-29,Bucks,,Johnny O'Bryant III,personal reasons (DTD)
7413,2016-01-29,Clippers,,Paul Pierce,rest (DTD)
7414,2016-01-29,Knicks,Carmelo Anthony,,returned to lineup
7415,2016-01-29,Knicks,Kristaps Porzingis,,returned to lineup
7416,2016-01-29,Suns,Jon Leuer,,returned to lineup
7417,2016-01-30,76ers,,Elton Brand,placed on IL for personal reasons
7418,2016-01-30,76ers,JaKarr Sampson,,returned to lineup
7419,2016-01-30,Hornets,,Nicolas Batum,sprained right toe (DTD)
7420,2016-01-30,Kings,,DeMarcus Cousins,sprained left ankle (DTD)
7421,2016-01-30,Kings,,Marco Belinelli,gastroenteritis (DTD)
7422,2016-01-30,Kings,Rudy Gay,,returned to lineup
7423,2016-01-30,Pacers,,Ian Mahinmi,sore lower back (DTD)
7424,2016-01-30,Pelicans,Anthony Davis,,returned to lineup
7425,2016-01-30,Pistons,,Ersan Ilyasova,thigh injury (DTD)
7426,2016-01-30,Warriors,,Andre Iguodala,rest (DTD)
7427,2016-01-31,Bulls,Kirk Hinrich,,returned to lineup
7428,2016-01-31,Hornets,Jeremy Lin,,returned to lineup
7429,2016-01-31,Suns,,T.J. Warren,fractured right foot (out for season)
7430,2016-01-31,Warriors,Andre Iguodala,,returned to lineup
7431,2016-02-01,Bucks,Johnny O'Bryant III,,returned to lineup
7432,2016-02-01,Grizzlies,,Matt Barnes,right hamstring injury (DTD)
7433,2016-02-01,Kings,,Ben McLemore,sore/sprained right wrist (DTD)
7434,2016-02-01,Kings,Marco Belinelli,,returned to lineup
7435,2016-02-01,Mavericks,,Deron Williams,bruised hip (DTD)
7436,2016-02-01,Pistons,Ersan Ilyasova,,returned to lineup
7437,2016-02-02,Blazers,Pat Connaughton,,returned to lineup
7438,2016-02-02,Rockets,,Clint Capela,strained left hip flexor (DTD)
7439,2016-02-02,Rockets,,Montrezl Harrell,illness (DTD)
7440,2016-02-03,Bulls,,Jimmy Butler,left knee tendinitis (DTD)
7441,2016-02-03,Heat,,Tyler Johnson,surgery on left shoulder (out indefinitely)
7442,2016-02-03,Hornets,,Kemba Walker,sore left knee (DTD)
7443,2016-02-03,Hornets,Jeremy Lamb,,returned to lineup
7444,2016-02-03,Hornets,Nicolas Batum,,returned to lineup
7445,2016-02-03,Kings,Ben McLemore,,returned to lineup
7446,2016-02-03,Kings,DeMarcus Cousins,,returned to lineup
7447,2016-02-03,Nuggets,,Darrell Arthur,sore left quadricep (DTD)
7448,2016-02-03,76ers,Elton Brand,,activated from IL
7449,2016-02-04,Pistons,,Kentavious Caldwell-Pope,strained groin (CBC) / strained core muscle (P) (DTD)
7450,2016-02-04,Rockets,Clint Capela,,returned to lineup
7451,2016-02-04,Spurs,,Emanuel Ginobili / Manu Ginobili,surgery to repair testicle injury (out indefinitely)
7452,2016-02-04,Rockets,,Sam Dekker,sore lower back (DTD)
7453,2016-02-05,Bulls,,Pau Gasol,sprained left hand (DTD)
7454,2016-02-05,Bulls,Jimmy Butler,,returned to lineup
7455,2016-02-05,Clippers,,Austin Rivers,fractured left hand (DTD)
7456,2016-02-05,Grizzlies,Matt Barnes,,returned to lineup
7457,2016-02-05,Hornets,Kemba Walker,,returned to lineup
7458,2016-02-05,Knicks,,Lance Thomas,concussion (DTD)
7459,2016-02-05,Magic,,Tobias Harris,sore left ankle (DTD)
7460,2016-02-06,76ers,,Ishmael Smith / Ish Smith,sprained left ankle (DTD)
7461,2016-02-06,Blazers,,Allen Crabbe,illness (DTD)
7462,2016-02-06,Bulls,,Jimmy Butler,sprained left knee (DTD)
7463,2016-02-06,Bulls,Pau Gasol,,returned to lineup
7464,2016-02-06,Cavaliers,,Kevin Love,bruised left quadriceps (DTD)
